num_words,word_size,words_per_row,area,process,voltage,temperature,output_slew
16,2,1,88873,FF,5.0,25,1.81
16,2,1,88873,SS,5.0,25,1.81
16,2,1,88873,TT,3.6,25,1.81
64,2,4,108116,FF,5.0,25,1.69
64,2,4,108116,SS,5.0,25,1.69
64,2,4,108116,TT,3.6,25,1.69
16,1,1,86004,FF,5.0,25,1.786
16,1,1,86004,SS,5.0,25,1.786
16,1,1,86004,TT,3.6,25,1.786
32,3,2,101618,FF,5.0,25,1.725
32,3,2,101618,SS,5.0,25,1.725
32,3,2,101618,TT,3.6,25,1.725
16,3,1,93009,FF,5.0,25,1.835
16,3,1,93009,SS,5.0,25,1.835
16,3,1,93009,TT,3.6,25,1.835
64,1,4,95878,FF,5.0,25,1.662
64,1,4,95878,SS,5.0,25,1.662
64,1,4,95878,TT,3.6,25,1.662
32,1,2,90139,FF,5.0,25,1.69
32,1,2,90139,SS,5.0,25,1.69
32,1,2,90139,TT,3.6,25,1.69
